REFERENCE,LINK,TAG,ADDRESS,ZONE,CITY,DESCRIPTION,CONDOMINIUM,ADMINISTRATION,STRATA,AGE,REMODELED,AREA,ROOMS,BATHROOMS,GARAGES,ELEVATORS,TYPE OF PROPERTY,STORAGE,PORTER'S LODGE,LAUNDRY AREA,GAS,PARKING LOT,FULL PRICE,FINAL PRICE,CREATION,OBSERVATIONS,PRICE 1,UPDATE 1,PRICE 2,UPDATE 2,PRICE 3,UPDATE 3,PRICE 4,UPDATE 4,PRICE 5,UPDATE 5,PRICE 6,UPDATE 6,PRICE 7,UPDATE 7
3252272012,https://habi.co/venta-apartamentos/3252272012/nueva-castilla-etapa-4-casa-venta-tintala-kennedy,Externo,Carrera 88d # 8a-81,Calandaima,Bogotá,"Casa en venta de 54m2, con vista interior, (Casa 27). Consta de 2 habitaciones, 1 baño, sala comedor, cocina integral, estudio, jardín y zona de lavandería. Tiene piso cerámico en todas sus zonas. El conjunto cuenta con salón social, parqueadero comunal y vigilancia privada las 24 horas. Cerca a centros comercial Ciudad Tintal; cerca a almacenes de cadena como Metro, D1 y Ara; cerca a colegio Gimnasio Moderno San Francisco y Codema; cerca a universidades como Uniagustiniana y Antonio Nariño; cerca a estación de Transmilenio Banderas y Marsella; Vías de acceso por la Calle 8C y Carrera 87B. VALOR DE ADMINISTRACIÓN POR CONFIRMAR",Nueva Castilla Etapa 4,$0,2,16 años,No,54 m2,2,1,No Tiene,,Casa,No Tiene,24 hrs,No Tiene,Si,Si,$170.000.000,$170.000.000,13/8/2022,,,,,,,,,,,,,,,
3274372206,https://habi.co/venta-apartamentos/3274372206/rincon-del-portal-1-apartamento-venta-san-pedro-usme-usme,,Carrera 1deste # 64 - 30Sur,Danubio,Bogotá,"Apartamento en venta de 49 m2, con vista al interior, ubicado en un 4to piso (Torre 9 Apto 401), acceso por escaleras, parqueadero comunal. Consta de 3 habitaciones, 1 baño, sala comedor, cocina integral. Tiene piso cerámico en todas sus zonas. El conjunto cuenta con zonas verdes, zona para niños, salón comunal, mini market, parqueadero comunal y vigilancia privada las 24 horas. Cerca a centro comerciales La Victoria y Altavista; cerca a almacenes de cadena como D1 y Justo & Bueno; cerca a colegio Soledad Samper; cerca a estación de Transmilenio Portal Usme; Vías de acceso por la calle 65 Sur y Diagonal 60 Sur. VALOR DE ADMINISTRACION POR CONFIRMAR",Rincon del Portal 1,$0,2,8 años,Si,49 m2,3,1,No Tiene,No Tiene,Apartamento,No Tiene,24 hrs,No Tiene,Si,Si,$142.000.000,$142.000.000,13/8/2022,,,,,,,,,,,,,,,
3521814705,https://habi.co/venta-apartamentos/3521814705/reserva-tibabuyes---apartamento-venta-tibabuyes-suba,,Calle 143 # 118-15,Tibabuyes,Bogotá,"Apatamento en venta de 47 m2, con vista interior, ubicado en un 1er piso (Torre 8 Apto 101). Consta de 2 habitaciones, 1 baño, sala comedor, balcón (1,5m2) cocina integral y zona de lavandería. Tiene piso laminado en habitaciones y zona social y cerámico en baños y cocina. El conjunto cuenta con zonas verdes, zona para niños, salón comunal , parqueadero comunal, bicicletero y vigilancia privada las 24 horas. Cerca a centro comercial Plaza Imperial, cerca a almacenes de cadena como Éxito, Jumbo, D1 Justo & Bueno cerca a colegio Don Bosco V, Delia Zapata Olivella; cerca a universidad Cun; cerca a Sitp y rutas alimentadoras; vías de acceso por la Calle 143 y Tv 118.",Reserva de Tibabuyes,$80.000,3,11 años,Si,47 m2,2,1,No Tiene,No Tiene,Apartamento,No Tiene,24 hrs,Comunal,Si,No,$140.000.000,$140.000.000,14/8/2022,,,,,,,,,,,,,,,
3547330836,https://habi.co/venta-apartamentos/3547330836/senderos-del-porvenir-2-apartamento-venta-corzo-bosa,Externo,Calle 54c Sur # 95A-11,El porvenir,Bogotá,"Apartamento en venta de 38m2, con vista interior, ubicado en un 1er piso (Torre 11 Apto 103), acceso por escaleras. Consta de 2 habitaciones, 1 baño, sala comedor, cocina integral y zona de lavandería. Tiene piso cerámico en todas sus zonas. El conjunto cuenta con zona para niños, zonas verdes, mini cancha de futbol, salón social, parqueadero comunal y vigilancia privada las 24 horas. Cerca a centro comercial Micentro El Porvenir, Trebolis El Porvenir; cerca a almacenes de cadena como Colsubsidio; cerca a colegio Germán Arciniegas; cerca a universidad Distrital; cerca a paraderos SITP; Vías de acceso por carrera 95A y Calle 54c. VALOR DE ADMINISTRACIÓN POR CONFIRMAR",Senderos del Porvenir 2,$0,2,12 años,No,38 m2,2,1,No Tiene,No Tiene,Apartamento,No Tiene,24 hrs,No Tiene,Si,Si,$105.000.000,$105.000.000,13/8/2022,,,,,,,,,,,,,,,
3592676974,https://habi.co/venta-apartamentos/3592676974/barichara---apartamento-venta-ciudadela-colsubsidio-soacha,,Carrera 2 # 15 - 90 sur,Soacha ciudadela maipore,Soacha,"Apartamento en venta de 43 m2, con vista interior, ubicado en un 3er piso (Torre 18 Apto 302), acceso por escaleras, parqueadero comunal. Consta de 3 habitaciones, 1 baño, sala comedor, cocina integral y zona de lavandería. Tiene piso cerámico en todas sus zonas. El conjunto cuenta con zonas verdes, zona para niños, salón comunal, mini market y vigilancia privada las 24 horas. Cerca a centro comercial Ágora; cerca a colegio Colsubsidio Maiporé y colegio Psicopedagógico Juan Pablo II; cerca a universidad Milena; cerca almacenes de cadena D1, Ara, Colsubsidio, Surtimax y Justo & Bueno; Vías de acceso por la Carrera 2 y Calle 40sur",Barichara,$55.000,3,10 años,Si,43 m2,3,1,No Tiene,No Tiene,Apartamento,No Tiene,24 hrs,Comunal,Si,Si,$89.000.000,$89.000.000,13/8/2022,,,,,,,,,,,,,,,
3598545348,https://habi.co/venta-apartamentos/3598545348/ciudad-tintal-2-etapa-1-casa-venta-campo-alegre-kennedy,,Calle 6A # 94A-26,Tintal norte,Bogotá,"Casa en venta de 59 m2, con vista exterior, ubicado en un 1er piso (Casa 267), parqueadero comunal. Consta de 3 habitaciones, 2 baños, sala comedor, cocina integral y zona de lavandería. Tiene piso cerámico en todas sus zonas. El conjunto cuenta con salón comunal, zonas verdes, zonas para niños, parqueadero comunal, cancha múltiple, mini market y vigilancia privada las 24 horas. Cerca a centro comercial Ciudad Tintal; cerca a almacenes de cadena como Alkosto, Éxito y Metro; cerca a colegios como Gabriel Betancourt Mejía y Gimnasio Moderno San Francisco; cerca a universidad Uniagustiniana y Pública de Kennedy; cerca a estación de Transmilenio Patio Bonito; Vías de acceso por la Calle 7 y Carrera 94. *VALOR DE ADMINISTRACION POR CONFIRMAR*",Ciudad Tintal 2 Etapa 1,$0,2,12 años,Si,59 m2,3,2,No Tiene,No Tiene,Casa,No Tiene,24 hrs,Comunal,Si,No,$164.000.000,$164.000.000,13/8/2022,,,,,,,,,,,,,,,
3614651283,https://habi.co/venta-apartamentos/3614651283/conjunto-residencial-camino-del-viento-ph---apartamento-venta-cabanas-bello,,Carrera 59 #27 B - 510,Amazonia,Bello,"Apartamento en venta de 49.83m2, con vista exterior , ubicado en un 5to piso (Torre 1, Apto 501), acceso por ascensor, parqueadero propio cubierto (2010). Consta de 3 habitaciones, 2 baños, sala comedor, cocina integral, balcón (2m2) y zona de lavandería. Tiene piso cerámico en habitaciones, zona social, baños y cocina. El conjunto cuenta con salón social, zona para niños, gimnasio, sala de juegos, cancha múltiple y vigilancia privada las 24 horas. Cerca a almacenes de cadena como D1 y Justo & Bueno; cerca a colegio Parroquial San Francisco de Asís, Liceo Antioqueño y Suárez de La Presentación; Vías de acceso por Carrera 59.",Conjunto Residencial Camino del Viento P.H.,$124.106,4,2 años,Si,50 m2,3,2,1,2,Apartamento,No Tiene,24 hrs,Comunal,Si,Si,$252.000.000,$252.000.000,13/8/2022,,,,,,,,,,,,,,,
3732556897,https://habi.co/venta-apartamentos/3732556897/gerona-del-porvenir--apartamento-venta-pantanos-kennedy,,Carrera 95a # 26 - 38Sur,Calandaima,Bogotá,"Apartamento en venta de 47m2, con vista exterior, ubicado en un 13vo piso (Torre 6 Apto 1305), acceso por ascensor. Consta de 3 habitaciones, 1 baño, sala comedor, cocina integral y zona de lavandería. Tiene piso laminado en habitaciones y zona social y cerámico en cocina y baño. El conjunto cuenta con zona para niños, piscina, cancha múltiple, salón social, gimnasio, parqueadero comunal y vigilancia privada las 24 horas. Cerca a centros comerciales Tintal Plaza y Parque Central Primavera; cerca a almacenes de cadena como Éxito, Colsubsidio, Justo y Bueno, Ara y D1; cerca a colegio Cafam Bellavista; cerca a estaciones de Transmilenio Portal de las Américas. Acceso por la Avenida Ciudad de Cali y Avenida Tintal. VALOR DE ADMINISTRACION POR CONFIRMAR",Gerona del Porvenir,$0,2,11 años,Si,48 m2,3,1,No Tiene,1,Apartamento,No Tiene,24 hrs,No Tiene,Si,Si,$150.000.000,$150.000.000,13/8/2022,,,,,,,,,,,,,,,
3737038435,https://habi.co/venta-apartamentos/3737038435/linaria-apartamento-venta-ciudad-verde-soacha,,Carrera 32 #13-81,Soacha ciudad verde,Soacha,"Apartamento en venta de 41m2, con vista exterior, ubicado en un 1er piso (Torre 16 Apto 102). Consta de 3 habitaciones, 1 baño, sala comedor, cocina integral y zona de lavandería. Tiene piso cerámico en todas sus zonas. El conjunto cuenta con zonas verdes, zona para niños, salón comunal, parqueadero comunal y vigilancia privada las 24 horas. Cerca a centros comerciales Jardín Verde, Prado Verde y Gran Plaza; cerca a almacenes de cadena como Olímpica, Colsubsidio y Ara; cerca a colegios Colegio León XIII y Gimnasio Británico Brighton; cerca a universidad UNAD Ciudad Verde; vías de acceso por la Carrera 32 y Calle 17. *VALOR DE ADMINISTRACION POR CONFIRMAR*",Linaria,$0,3,5 años,Si,41 m2,3,1,No Tiene,No Tiene,Apartamento,No Tiene,24 hrs,No Tiene,Si,Si,$108.500.000,$108.500.000,13/8/2022,,,,,,,,,,,,,,,
3946146522,https://habi.co/venta-apartamentos/3946146522/conjunto-uso-mixto-torres-del-rio---apartamento-venta-simesa-medellin,,Calle 19 # 43 G - 155,Villa carlota,Medellín,"Apartamento en venta de 81.09m2, con vista exterior, ubicado en un 1er piso (Torre 4 Apto 115), acceso por ascensor, parqueadero propio cubierto (240) y depósito (311) . Consta de 3 habitaciones, 2 baños, sala comedor, balcón, cocina integral y zona de lavandería. Tiene piso laminado en habitaciones y zona social y cerámico en baños y cocina. El conjunto cuenta con salón social, zona para niños, gimnasio, piscina, cancha múltiple y vigilancia privada las 24 horas. Cerca a los centros comerciales Monterrey, Vegas 10 y Avenida Mall; cerca a almacenes de cadena como Éxito, D1 y Justo y Bueno; cerca a universidad Esumer y Politécnico Jaime Isaza Cadavid; cerca a estación de Metro Industriales y Poblado; Vías de acceso por la Carrera 44 y Calle 19.",Conjunto de Uso Mixto Torres del Río,$280.000,4,11 años,Si,81 m2,3,2,1,1,Apartamento,1,24 hrs,Comunal,Si,Si,$405.000.000,$405.000.000,13/8/2022,,,,,,,,,,,,,,,
